bookName,author,translator,publisher,definePrice,discount,sellPrice
Python编程从入门到实践第2版（图灵出品）,[美]埃里克·马瑟斯,袁国忠,人民邮电出版社,109.80,5,54.90
财务数据治理实战,DAMA中国 郑保卫,清华大学出版社,88.00,7.06,62.10
图解TCP/IP第5版(图灵出品),[日]竹下隆史，[日]村山公保，[日]荒井透，[日]苅田幸雄,乌尼日其其格,人民邮电出版社,,,69.00
华为数字化转型之道华为官方出品,华为公司企业架构与变革管理部,机械工业出版社,129.00,6.63,85.50
MySQL必知必会(图灵出品）,[英]Ben Forta,人民邮电出版社,,,49.00
【樊登推荐】浪潮之巅第四版吴军博士作品（异步图书出品）,吴军,人民邮电出版社,139.00,5,69.50
NPR播客入门指南：创建、启动和增长,[美]Glen Weldon,徐一彤,电子工业出版社,88.00,8.94,78.60
Excel最强教科书（完全版）：即学即用、受益一生“收获胜利成果”的超赞Excel工作法（全彩）,[日]藤井直弥，[日]大山啓介,王娜、李利、祁芳芳,中国青年出版社,69.90,9.05,63.20
Unity手机游戏开发：从搭建到发布上线全流程实战,王杰,北京大学出版社,,,98.00
和秋叶一起学PPT（第4版）（异步图书出品）,秋叶，陈陟熹,人民邮电出版社,,,99.00
SQL基础教程第2版(图灵出品),[日]MICK,孙淼，罗勇,人民邮电出版社,,,79.00
C++PrimerPlus第6版中文版(异步图书出品),[美]史蒂芬·普拉达（Stephen Prata）,张海龙，袁国忠,人民邮电出版社,118.00,5,59.00
Python编程三剑客新版：Python编程从入门到实践第2版+快速上手第2版+极客编程（套装3册）,[美]埃里克·马瑟斯,人民邮电出版社,267.80,5,133.90
【WPS官方推荐】WPS之光：全能一本通?Office办公三合一（全彩）(博文视点出品),冯注龙,电子工业出版社,,,79.00
SQL进阶教程(图灵出品),MICK,吴炎昌,人民邮电出版社,,,79.00
和秋叶一起学Word（第3版）（异步图书出品）,秋叶,人民邮电出版社,89.00,9.98,88.80
域渗透攻防指南,谢兆国，张秋圆,机械工业出版社,129.00,7.14,92.00
中文版3dsMax2020完全案例教程3dmax教程3ds教程书籍（微课视频版全彩印）cad教程自学零基础学3dmax3d建模室内设计效果图制作vray渲染三维动画,唯美世界，曹茂鹏,中国水利水电出版社,,,128.00
CPrimerPlus第6版中文版(异步图书出品),"[美]史蒂芬·普拉达（Stephen,Prata）",姜佑,人民邮电出版社,108.00,5,54.00
华为数字化转型与数据治理套装华为数字化转型之道华为数据之道华为官方出品套装共2册,华为公司企业架构与变革管理部，华为公司数据管理部,机械工业出版社,218.00,7.5,163.50
鸟哥的Linux私房菜基础学习篇第四版Linux教程（异步图书出品）,鸟哥,人民邮电出版社,,,118.00
人工智能：现代方法（第4版）（精装版）（异步图书出品）,[美]斯图尔特·罗素（Stuart Russell）,张博雅，陈坤，田超，顾卓尔，吴凡，赵申剑,人民邮电出版社,358.00,7.89,282.20
数据密集型应用系统设计,[美]Martin Kleppmann（马丁·科勒普曼）,赵军平 吕云松 耿煜 李三平,中国电力出版社,128.00,9.42,120.50
高性能MySQL（第4版）,[美]杰里米·廷利,宁海元，周振兴，张新铭,电子工业出版社,,,100.00
人工智能：现代方法（第4版）（上下册）（异步图书出品）,[美]斯图尔特·罗素（Stuart Russell）,张博雅，陈坤，田超，顾卓尔，吴凡，赵申剑,人民邮电出版社,,,198.00
华为数据之道华为官方出品,华为公司数据管理部,机械工业出版社,89.00,6.85,60.90
Python与数据分析及可视化（微课视频版）（大数据与人工智能技术丛书）,李鲁群，李晓丰，张波,清华大学出版社,49.80,8.5,42.30
wordexcelppt从入门到精通wps教程表格制作函数office书籍办公软件计算机应用基础知识自学书籍电脑入门办公软件自动化教程,曾焱,广东人民出版社,,,49.80
STM32单片机全案例开发实战,蔡杏山,电子工业出版社,,,79.00
机器学习,周志华,清华大学出版社,108.00,6.66,71.90
算法(第4版)(图灵出品),[美] Robert Sedgewick，[美]Kevin Wayne,谢路云,人民邮电出版社,,,129.80
Java从入门到精通（第6版）（软件开发视频大讲堂）,明日科技,清华大学出版社,79.80,8,63.80
Linux命令行与shell脚本编程大全（第4版）（图灵出品）,"[美]理查德·布卢姆（Richard,Blum），[美]克里斯蒂娜·布雷斯纳汉（Christine,",门佳,人民邮电出版社,,,129.80
剪映短视频剪辑从入门到精通（手机版+电脑版）手机短视频剪辑编辑与制作特效制作剪映案例教程书籍教材抖音快手小红书B站视频剪辑praepsvlog视频处理软件,新镜界,中国水利水电出版社,89.80,8.57,76.90
MySQL是怎样运行的从根儿上理解MySQL（异步图书出品）,小孩子4919,人民邮电出版社,,,99.00
了不起的程序员2023（程序员专属日历，365天陪伴技术人的心头好物，送朋友、送团队）（图灵出品）,图灵教育,人民邮电出版社,139.80,5,69.90
控制之美（卷1）——控制理论从传递函数到状态空间,王天威,清华大学出版社,69.00,8,55.20
游戏设计艺术（第3版）?[TheArtofGameDesign](博文视点出品),"[美]Jesse,Schell（杰西・谢尔）",刘嘉俊，等,电子工业出版社,,,258.00
中文版Photoshop 2022完全自学教程 全视频+一对一答疑 新版PS教程（数艺设出品）,李金明，李金蓉,人民邮电出版社,119.90,8.56,102.60
数学之美第三版（异步图书出品）,吴军,人民邮电出版社,,,69.00
从零开始学Python（微课视频版）python编程从入门到实践零基础入门学习python基础教程python核心编程程序设计基础书籍教材计算机程序设计艺术,何明 编著,中国水利水电出版社,,,89.80
和秋叶一起学：秒懂Word+Excel+PPT全彩新版（京东套装3册）Office教程WPS书籍(异步图书出品),秋叶，陈文登，赵倚南，刘晓阳,人民邮电出版社,149.70,9.99,149.50
Python3网络爬虫开发实战第2版（图灵出品）,崔庆才,人民邮电出版社,139.80,5,69.90
C++语言入门经典教程：C++PrimerPlus第6版中文版+中文版习题解答（套装2册)(异步图书出品),[美]史蒂芬·普拉达（Stephen Prata）,人民邮电出版社,207.00,5,103.50
计算机网络：自顶向下方法（原书第8版）,[美]詹姆斯·F.库罗斯，[美]基思·W.罗斯,陈鸣,机械工业出版社,129.00,6.9,88.90
深入理解Android内核设计思想第2版（上下册）(异步图书出品),林学森,人民邮电出版社,,,158.00
JavaScript高级程序设计第4版(图灵出品）,"[美]马特·弗里斯比（Matt,Frisbie）",人民邮电出版社,,,129.00
程序员的自我修养：链接、装载与库(博文视点出品),潘爱民，俞甲子，石凡,电子工业出版社,,,99.00
文明之光（全彩印刷套装1-4册）入选2014中国好书/第六届中华优秀出版物获奖图书(异步图书出品),吴军,人民邮电出版社,,,246.00
和秋叶一起学WordExcelPPT（套装3册京东版）Office教程WPS书籍(异步图书出品),秋叶，陈陟熹,人民邮电出版社,,,287.00
数据荒岛求生从excel数据分析到Python数据分析大数据excel函数大话数据结构数据治理数据挖掘excel数据处理数据分析思维数据可视化,曹鉴华，赵奇,中国水利水电出版社,,,69.00
C++Primer（中文版第5版）(博文视点出品),叶劲峰，李云，刘未鹏，等,王刚，杨巨峰,电子工业出版社,128.00,6.84,87.50
安卓传奇：Android缔造团队回忆录,[美]Chet Haase,徐良,电子工业出版社,,,108.00
数据结构与算法分析C语言描述（原书第2版）典藏版,"[美]马克·艾伦·维斯（Mark,Allen,Weiss）",冯舜玺译,机械工业出版社,79.00,7.22,57.00
并行计算与高性能计算,[美]罗伯特·罗比（Robert Robey），[美]尤莉安娜·萨莫拉,殷海英,清华大学出版社,139.00,8,111.20
深入理解计算机系统（原书第3版）,"[美]兰德尔 E.布莱恩特（Randal,E.·Bryant），等",龚奕利，贺莲,机械工业出版社,139.00,7.23,100.40
图神经网络：基础、前沿与应用（异步图书出品）,吴凌飞，崔鹏，裴健，赵亮,人民邮电出版社,,,178.80
算法竞赛（清华科技大讲堂）,罗勇军，郭卫斌,清华大学出版社,168.00,8.84,148.40
点石成金：访客至上的Web和移动可用性设计秘笈（原书第3版）,"[美]克鲁格（Steve,Krug）",机械工业出版社,79.00,8.57,67.70
深度学习(异步图书出品),[美]Ian Goodfellow，等,人民邮电出版社,168.00,5,84.00
算法导论（原书第3版）/计算机科学丛书,[美]Thomas H.Cormen，[美]Charles E.Leiserson，[美]Ronald L.Rivest，[美]Clifford Stein,殷建平，徐云，王刚，等,机械工业出版社,128.00,6.64,84.90
可解释人工智能导论（全彩）(博文视点出品),杨强，范力欣，朱军，陈一昕，张拳石，朱松纯，等,电子工业出版社,,,158.00
大话数据结构【溢彩加强版】,程杰,清华大学出版社,119.00,8,95.20
网络是怎样连接的（图灵出品）,[日]户根勤,周自恒,人民邮电出版社,,,69.80
EffectiveC++：改善程序与设计的55个具体做法（第3版中文版）(博文视点出品),[美]梅耶（Scott Meyers）,侯捷,电子工业出版社,,,89.00
Python深度学习（第2版）（图灵出品）,[美]弗朗索瓦·肖莱（Franc·ois Chollet）,张亮,人民邮电出版社,,,129.80
Vue.js设计与实现（图灵出品）,霍春阳（HcySunYang）,人民邮电出版社,,,119.80
SQL必知必会第5版(图灵出品）,"[美],本·福达（Ben,Forta）",钟鸣，刘晓霞,人民邮电出版社,,,49.00
PyTorch深度学习实战（异步图书出品）,"[美]伊莱·史蒂文斯（Eli,Stevens），[意]卢卡·安蒂加（Luca Antiga），等",牟大恩,人民邮电出版社,,,119.90
人月神话（40周年中文纪念版）,"[美]小弗雷德里克·布鲁克斯（Frederick,P.Brooks,Jr.）","汪颖,UMLChina翻组",清华大学出版社,88.00,8,70.40
【包邮】labuladong的算法小抄(PythonJavaC++零基础)(博文视点出品),付东来（@labuladong）,电子工业出版社,,,101.00
简明的TensorFlow2(全彩印刷)(图灵出品）,李锡涵，李卓桓，朱金鹏,人民邮电出版社,,,99.00
云原生Kubernetes全栈架构师实战,杜宽,清华大学出版社,138.00,8,110.40
C++20高级编程(第5版),[比]马克·格雷戈勒（Marc Gregoire）,程序喵大人，惠惠，墨梵,清华大学出版社,228.00,8,182.40
软件研发效能权威指南(博文视点出品),茹炳晟，张乐,电子工业出版社,,,239.00
C程序设计语言（原书第2版·新版典藏版）,[美]布莱恩·W.克尼汉（Brian W.Kernighan），[美]丹尼斯·M.里奇（Dennis M.Ritchie）,徐宝文，李志,机械工业出版社,69.00,7.24,49.90
机器学习实战：基于Scikit-Learn、Keras和TensorFlow（原书第2版）,"[法]奥雷利安·杰龙（Aurélien,Géron）",宋能辉，李娴,机械工业出版社,149.00,7.03,104.70
精益数据方法论：数据驱动的数字化转型,史凯,机械工业出版社,129.00,7.77,100.20
MATLAB2020从入门到精通matlab视频教程工程绘图程序设计优化设计可视化分析simulink建模与仿真数字图像处理matlab数学建模实战案例+视频讲解,天工在线,中国水利水电出版社,,,89.80
现代JavaScript库开发：原理、技术与实战,颜海镜,电子工业出版社,,,108.00
自然语言处理：基于预训练模型的方法（全彩）（博文视点出品）,车万翔，郭江，崔一鸣,电子工业出版社,,,118.00
【签名版】深入理解Linux网络：修炼底层内功，掌握高性能原理（配Java、C++实验代码）(博文视点出品),张彦飞,电子工业出版社,,,118.00
计算机体系结构：量化研究方法（第6版）（体系结构领域经典，图灵奖得主扛鼎之作！）（图灵出品）,约翰·L.亨尼西（John L. Hennessy），等,贾洪峰,人民邮电出版社,199.80,6.95,138.70
算法图解（图灵出品）,"[美],巴尔加瓦（Aditya,Bhargava）",袁国忠,人民邮电出版社,,,69.80
网络攻防技术与实战：深入理解信息安全防护体系,郭帆,清华大学出版社,79.00,8,63.20
智能化战争：AI军事畅想（学习强国，重磅推荐）,吴明曦,国防工业出版社,,,138.00
html5+css3+javascript从入门到精通项目开发案例实战书籍教材教程（标准版）web前端开发网页设计与制作丛书,未来科技,中国水利水电出版社,,,89.80
计算机科学丛书·数据结构、算法与应用：C++语言描述（原书第2版）,[美]萨特吉·萨尼（Sartaj Sahni）,王立柱，刘志红,机械工业出版社,79.00,7.23,57.10
Excel+Python飞速搞定数据分析与处理（图灵出品）,[瑞士]费利克斯·朱姆斯坦（Felix Zumstein）,冯黎,人民邮电出版社,,,89.80
利用Python进行数据分析（原书第2版）,[美]韦斯·麦金尼（Wes McKinney）,徐敬一,机械工业出版社,119.00,7.03,83.60
Spring实战（第6版）（异步图书出品）,[美]克雷格·沃斯（Craig Walls）,张卫滨，吴国浩,人民邮电出版社,109.80,5,54.90
