ID,name,count,CoCh,HoRatio,InchoRatio,PerTra,InPerTra
603993,洛阳钼业,1,0,0.87,0.05,1.07,0.06
600750,江中药业,1,0,0.39,-0.20,0.39,-0.21
000519,中兵红箭,1,-1,0.79,-0.87,0.79,-0.87
600528,中铁工业,1,0,1.59,0.56,1.59,0.56
600309,万华化学,1,0,0.60,0.09,0.60,0.09
301152,天力锂能,1,1,0.16,0.16,0.72,0.72
300831,派瑞股份,1,1,0.24,0.24,0.41,0.41
600256,广汇能源,1,-1,1.55,-0.41,1.55,-0.41
600388,ST龙净,1,1,1.06,1.06,1.06,1.06
600511,国药股份,1,0,0.24,0.01,0.33,0.01
301059,金三江,1,1,0.36,0.36,1.25,1.25
300620,光库科技,1,0,0.48,0.00,0.49,0.01
600660,福耀玻璃,1,0,1.57,-0.16,2.04,-0.21
300442,润泽科技,1,0,0.52,-3.76,4.28,0.00
603856,东宏股份,1,-2,0.80,-2.98,0.80,-3.01
002167,东方锆业,1,0,0.41,0.01,0.44,0.02
300684,中石科技,1,1,0.33,0.33,0.33,0.33
002051,中工国际,1,0,0.58,0.01,0.65,0.01
603392,万泰生物,1,-1,0.46,-0.32,1.91,-1.22
300967,晓鸣股份,1,0,0.30,0.00,0.54,0.02
300437,清水源,1,0,0.17,-0.03,0.18,-0.03
603000,人民网,1,0,0.59,0.06,0.59,0.06
600436,片仔癀,1,-1,1.23,-0.85,1.23,-0.85
600481,双良节能,1,1,0.52,0.52,0.60,0.60
301025,读客文化,1,0,0.13,0.01,0.45,-0.73
002683,广东宏大,1,1,0.81,0.81,0.81,0.81
603300,华铁应急,1,-2,2.46,-5.61,2.46,-5.71
000753,漳州发展,1,0,0.46,-0.15,0.46,-0.15
688289,圣湘生物,1,0,0.83,-0.38,1.40,-0.64
600557,康缘药业,1,0,0.96,0.05,0.97,0.06
000563,陕国投A,1,0,0.23,0.01,0.23,0.01
600233,圆通速递,1,0,0.91,0.00,0.91,0.00
301063,海锅股份,1,0,0.35,0.05,0.72,-0.46
301179,泽宇智能,1,1,0.38,0.38,1.65,1.65
300723,一品红,1,-1,0.72,-0.36,1.55,-0.80
300494,盛天网络,1,0,2.07,1.19,2.07,1.19
688569,铁科轨道,1,1,0.23,0.23,0.37,0.37
300401,花园生物,1,0,1.85,0.99,1.85,0.99
688697,纽威数控,1,1,0.16,0.16,0.65,0.65
300918,南山智尚,1,0,0.27,0.13,0.90,0.42
605589,圣泉集团,1,-3,1.55,-0.53,1.95,-17.95
688289,圣湘生物,1,0,0.83,-0.38,1.40,-0.64
001219,青岛食品,1,-2,0.10,-0.31,0.42,-1.23
